ID,read,Genome,symbiodinium_species,#Reads_processed,#Unmapped,%Unmapped,#One_hit_one_genome,%One_hit_one_genome,#Multiple_hits_one_genome,%Multiple_hits_one_genome,#One_hit_multiple_genomes,%One_hit_multiple_genomes,Multiple_hits_multiple_genomes,%Multiple_hits_multiple_genomes
Ac_FL_B10,r1,GCA_905221625.1,Symbiodinium sp. KB8,29089411,28849048,99.17,93,0,5,0,52476,0.18,187789,0.65
Ac_FL_B10,r1,GCA_905221635.1,Symbiodinium sp. CCMP2456,29089411,28853398,99.19,165,0,6,0,52632,0.18,183210,0.63
Ac_FL_B10,r1,GCA_905231905.1,Symbiodinium pilosum,29089411,28933630,99.47,127,0,6,0,30216,0.1,125432,0.43
Ac_FL_B10,r1,GCA_905231915.1,Symbiodinium necroappetens,29089411,28860285,99.21,157,0,13,0,55217,0.19,173739,0.6
Ac_FL_B10,r1,GCA_905231925.1,Symbiodinium microadriaticum,29089411,28841648,99.15,114,0,3,0,62403,0.21,185243,0.64
Ac_FL_B10,r1,GCA_000507305.1,Breviolum minutum Mf 1.05b.01,29089411,28917537,99.41,247,0,15,0,16544,0.06,155068,0.53
Ac_FL_B10,r1,All_Fish,NA,29089411,28774241,98.92,22580,0.08,13079,0.04,29914,0.1,249597,0.86
Ac_FL_B10,r2,Human,NA,29089411,28873295,99.27,4041,0.01,908,0,23704,0.08,187463,0.64
Ac_FL_B10,r2,Ecoli,NA,29089411,29088845,100,0,0,0,0,153,0,413,0
Ac_FL_B10,r2,PhiX,NA,29089411,29089411,100,0,0,0,0,0,0,0,0
Ac_FL_B10,r2,Contamnts_Adaptrs,NA,29089411,29089411,100,0,0,0,0,0,0,0,0
Ac_FL_B10,r2,Vectors,NA,29089411,29080162,99.97,1,0,0,0,739,0,8509,0.03
Ac_FL_B10,r2,Bacteria_24k,NA,29089411,28902775,99.35,8152,0.03,36449,0.13,11154,0.04,130881,0.45
Ac_FL_B10,r2,Protists_1k,NA,29089411,28496157,97.96,27938,0.1,29449,0.1,109056,0.37,426811,1.47
Ac_FL_B10,r2,Viruses,NA,29089411,28962084,99.56,258,0,88,0,14804,0.05,112177,0.39
Ac_FL_B10,r2,Fungi_RefSeq_release,NA,29089411,28856737,99.2,5492,0.02,1368,0,30885,0.11,194929,0.67
Ac_FL_B10,r2,Bird,NA,29089411,28907352,99.37,1503,0.01,172,0,20965,0.07,159419,0.55
Ac_FL_B10,r2,Plant,NA,29089411,28938323,99.48,896,0,143,0,13888,0.05,136161,0.47
Ac_FL_B10,r2,Symbiodinium,NA,29089411,28621229,98.39,85,0,7,0,116354,0.4,351736,1.21
Ac_FL_B10,r2,GCA_001939145.1,Symbiodinium microadriaticum,29089411,28860776,99.21,156,0,83,0,42185,0.15,186211,0.64
Ac_FL_B10,r2,GCA_003297005.1,Symbiodinium sp. clade A Y106,29089411,28695022,98.64,180,0,14,0,164487,0.57,229708,0.79
Ac_FL_B10,r2,GCA_003297045.1,Symbiodinium sp. clade C Y103,29089411,28916237,99.41,188,0,15,0,18513,0.06,154458,0.53
Ac_FL_B10,r2,GCA_009767595.1,Symbiodinium kawagutii,29089411,28911829,99.39,204,0,10,0,20931,0.07,156437,0.54
Ac_FL_B10,r2,GCA_018327485.1,Symbiodinium microadriaticum,29089411,28867409,99.24,213,0,12,0,43730,0.15,178047,0.61
Ac_FL_B10,r2,GCA_905221605.1,Symbiodinium natans,29089411,28894629,99.33,149,0,17,0,21506,0.07,173110,0.6
Ac_FL_B10,r2,GCA_905221615.1,Symbiodinium sp. CCMP2592,29089411,28816890,99.06,145,0,11,0,71318,0.25,201047,0.69
Ac_FL_B10,r2,GCA_905221625.1,Symbiodinium sp. KB8,29089411,28854375,99.19,100,0,8,0,52014,0.18,182914,0.63
Ac_FL_B10,r2,GCA_905221635.1,Symbiodinium sp. CCMP2456,29089411,28858418,99.21,148,0,9,0,52030,0.18,178806,0.61
Ac_FL_B10,r2,GCA_905231905.1,Symbiodinium pilosum,29089411,28937837,99.48,93,0,9,0,29790,0.1,121682,0.42
Ac_FL_B10,r2,GCA_905231915.1,Symbiodinium necroappetens,29089411,28865190,99.23,142,0,11,0,54433,0.19,169635,0.58
Ac_FL_B10,r2,GCA_905231925.1,Symbiodinium microadriaticum,29089411,28846948,99.17,114,0,9,0,61601,0.21,180739,0.62
Ac_FL_B10,r2,GCA_000507305.1,Breviolum minutum Mf 1.05b.01,29089411,28922105,99.42,261,0,16,0,16278,0.06,150751,0.52
Ac_FL_B10,r2,All_Fish,NA,29089411,28780915,98.93,22587,0.08,13122,0.05,29255,0.1,243532,0.84
Ac_FL_B8,r1,Human,NA,48715615,48342025,99.24,9292,0.02,2163,0,40181,0.08,321954,0.66
Ac_FL_B8,r1,Ecoli,NA,48715615,48715479,100,0,0,0,0,18,0,118,0
Ac_FL_B8,r1,PhiX,NA,48715615,48715615,100,0,0,0,0,0,0,0,0
Ac_FL_B8,r1,Contamnts_Adaptrs,NA,48715615,48715615,100,0,0,0,0,0,0,0,0
Ac_FL_B8,r1,Vectors,NA,48715615,48697092,99.96,10,0,0,0,1380,0,17133,0.04
Ac_FL_B8,r1,Bacteria_24k,NA,48715615,48460222,99.48,4088,0.01,7180,0.01,20845,0.04,223280,0.46
Ac_FL_B8,r1,Protists_1k,NA,48715615,46638471,95.73,44386,0.09,46956,0.1,582386,1.2,1403416,2.88
Ac_FL_B8,r1,Viruses,NA,48715615,48493084,99.54,322,0,88,0,28093,0.06,194028,0.4
Ac_FL_B8,r1,Fungi_RefSeq_release,NA,48715615,48304035,99.15,8617,0.02,2401,0,51893,0.11,348669,0.72
Ac_FL_B8,r1,Bird,NA,48715615,48411875,99.37,2532,0.01,209,0,38457,0.08,262542,0.54
Ac_FL_B8,r1,Plant,NA,48715615,48455635,99.47,1422,0,181,0,24753,0.05,233624,0.48
Ac_FL_B8,r1,Symbiodinium,NA,48715615,46832826,96.14,177,0,16,0,596211,1.22,1286385,2.64
Ac_FL_B8,r1,GCA_001939145.1,Symbiodinium microadriaticum,48715615,48076490,98.69,189,0,135,0,189282,0.39,449519,0.92
Ac_FL_B8,r1,GCA_003297005.1,Symbiodinium sp. clade A Y106,48715615,46969985,96.41,456,0,25,0,952535,1.96,792614,1.63
Ac_FL_B8,r1,GCA_003297045.1,Symbiodinium sp. clade C Y103,48715615,48395332,99.35,298,0,29,0,36034,0.07,283922,0.58
Ac_FL_B8,r1,GCA_009767595.1,Symbiodinium kawagutii,48715615,48388958,99.33,398,0,27,0,40791,0.08,285441,0.59
Ac_FL_B8,r1,GCA_018327485.1,Symbiodinium microadriaticum,48715615,48094862,98.73,360,0,23,0,195183,0.4,425187,0.87
Ac_FL_B8,r1,GCA_905221605.1,Symbiodinium natans,48715615,48288769,99.12,289,0,26,0,58091,0.12,368440,0.76
Ac_FL_B8,r1,GCA_905221615.1,Symbiodinium sp. CCMP2592,48715615,47785725,98.09,282,0,36,0,388256,0.8,541316,1.11
Ac_FL_B8,r1,GCA_905221625.1,Symbiodinium sp. KB8,48715615,48065795,98.66,188,0,14,0,216847,0.45,432771,0.89
Ac_FL_B8,r1,GCA_905221635.1,Symbiodinium sp. CCMP2456,48715615,48059539,98.65,308,0,38,0,218678,0.45,437052,0.9
Ac_FL_B8,r1,GCA_905231905.1,Symbiodinium pilosum,48715615,48376355,99.3,191,0,16,0,68333,0.14,270720,0.56
Ac_FL_B8,r1,GCA_905231915.1,Symbiodinium necroappetens,48715615,48072536,98.68,265,0,10,0,227279,0.47,415525,0.85
Ac_FL_B8,r1,GCA_905231925.1,Symbiodinium microadriaticum,48715615,48055323,98.65,198,0,8,0,231357,0.47,428729,0.88
Ac_FL_B8,r1,GCA_000507305.1,Breviolum minutum Mf 1.05b.01,48715615,48408132,99.37,373,0,26,0,31495,0.06,275589,0.57
Ac_FL_B8,r1,All_Fish,NA,48715615,48179430,98.91,34934,0.07,21284,0.04,50520,0.1,429447,0.88
Ac_FL_B8,r2,Human,NA,48715615,48353640,99.26,9058,0.02,2142,0,39415,0.08,311360,0.64
Ac_FL_B8,r2,Ecoli,NA,48715615,48715490,100,0,0,0,0,22,0,103,0
Ac_FL_B8,r2,PhiX,NA,48715615,48715615,100,0,0,0,0,0,0,0,0
Ac_FL_B8,r2,Contamnts_Adaptrs,NA,48715615,48715615,100,0,0,0,0,0,0,0,0
Ac_FL_B8,r2,Vectors,NA,48715615,48700058,99.97,10,0,0,0,1296,0,14251,0.03
Ac_FL_B8,r2,Bacteria_24k,NA,48715615,48468034,99.5,3931,0.01,7204,0.01,20429,0.04,216017,0.44
Ac_FL_B8,r2,Protists_1k,NA,48715615,46651347,95.76,43841,0.09,46906,0.1,584434,1.2,1389087,2.85
Ac_FL_B8,r2,Viruses,NA,48715615,48500676,99.56,302,0,143,0,27337,0.06,187157,0.38
Ac_FL_B8,r2,Fungi_RefSeq_release,NA,48715615,48315027,99.18,8329,0.02,2405,0,51014,0.1,338840,0.7
Ac_FL_B8,r2,Bird,NA,48715615,48421867,99.4,2371,0,215,0,37653,0.08,253509,0.52
Ac_FL_B8,r2,Plant,NA,48715615,48464830,99.49,1415,0,178,0,24095,0.05,225097,0.46
Ac_FL_B8,r2,Symbiodinium,NA,48715615,46844975,96.16,152,0,20,0,597700,1.23,1272768,2.61
Ac_FL_B8,r2,GCA_001939145.1,Symbiodinium microadriaticum,48715615,48087318,98.71,222,0,140,0,187756,0.39,440179,0.9
Ac_FL_B8,r2,GCA_003297005.1,Symbiodinium sp. clade A Y106,48715615,46979654,96.43,437,0,23,0,953333,1.96,782168,1.61
Ac_FL_B8,r2,GCA_003297045.1,Symbiodinium sp. clade C Y103,48715615,48403939,99.36,276,0,21,0,35362,0.07,276017,0.57
Ac_FL_B8,r2,GCA_009767595.1,Symbiodinium kawagutii,48715615,48397760,99.35,367,0,26,0,40373,0.08,277089,0.57
Ac_FL_B8,r2,GCA_018327485.1,Symbiodinium microadriaticum,48715615,48105403,98.75,316,0,9,0,193376,0.4,416511,0.85
Ac_FL_B8,r2,GCA_905221605.1,Symbiodinium natans,48715615,48298294,99.14,263,0,22,0,57439,0.12,359597,0.74
Ac_FL_B8,r2,GCA_905221615.1,Symbiodinium sp. CCMP2592,48715615,47799452,98.12,276,0,27,0,385035,0.79,530825,1.09
Ac_FL_B8,r2,GCA_905221625.1,Symbiodinium sp. KB8,48715615,48076697,98.69,163,0,8,0,215044,0.44,423703,0.87
Ac_FL_B8,r2,GCA_905221635.1,Symbiodinium sp. CCMP2456,48715615,48071042,98.68,291,0,15,0,216299,0.44,427968,0.88
Ac_FL_B8,r2,GCA_905231905.1,Symbiodinium pilosum,48715615,48383670,99.32,162,0,7,0,67472,0.14,264304,0.54
Ac_FL_B8,r2,GCA_905231915.1,Symbiodinium necroappetens,48715615,48082954,98.7,266,0,12,0,225217,0.46,407166,0.84
Ac_FL_B8,r2,GCA_905231925.1,Symbiodinium microadriaticum,48715615,48066701,98.67,169,0,10,0,229142,0.47,419593,0.86
Ac_FL_B8,r2,GCA_000507305.1,Breviolum minutum Mf 1.05b.01,48715615,48416344,99.39,417,0,28,0,30715,0.06,268111,0.55
Ac_FL_B8,r2,All_Fish,NA,48715615,48192011,98.93,34437,0.07,20960,0.04,49533,0.1,418674,0.86
Ac_FL_K1,r1,Human,NA,13483315,13391923,99.33,1822,0.01,405,0,10847,0.08,78318,0.58
Ac_FL_K1,r1,Ecoli,NA,13483315,13483265,100,0,0,0,0,4,0,46,0
Ac_FL_K1,r1,PhiX,NA,13483315,13483315,100,0,0,0,0,0,0,0,0
Ac_FL_K1,r1,Contamnts_Adaptrs,NA,13483315,13483315,100,0,0,0,0,0,0,0,0
Ac_FL_K1,r1,Vectors,NA,13483315,13479526,99.98,1,0,0,0,429,0,3359,0.02
Ac_FL_K1,r1,Bacteria_24k,NA,13483315,13418655,99.52,1107,0.01,3226,0.02,5181,0.04,55146,0.41
Ac_FL_K1,r1,Protists_1k,NA,13483315,13260205,98.35,12209,0.09,12419,0.09,35004,0.26,163478,1.21
Ac_FL_K1,r1,Viruses,NA,13483315,13426851,99.59,73,0,30,0,6006,0.04,50355,0.37
Ac_FL_K1,r1,Fungi_RefSeq_release,NA,13483315,13383204,99.26,2480,0.02,596,0,12934,0.1,84101,0.62
Ac_FL_K1,r1,Bird,NA,13483315,13407681,99.44,736,0.01,69,0,9913,0.07,64916,0.48
Ac_FL_K1,r1,Plant,NA,13483315,13417267,99.51,428,0,60,0,6378,0.05,59182,0.44
Ac_FL_K1,r1,Symbiodinium,NA,13483315,13311605,98.73,39,0,0,0,36700,0.27,134971,1
Ac_FL_K1,r1,GCA_001939145.1,Symbiodinium microadriaticum,13483315,13390233,99.31,48,0,4,0,15101,0.11,77929,0.58
Ac_FL_K1,r1,GCA_003297005.1,Symbiodinium sp. clade A Y106,13483315,13342595,98.95,82,0,6,0,49610,0.37,91022,0.68
Ac_FL_K1,r1,GCA_003297045.1,Symbiodinium sp. clade C Y103,13483315,13407418,99.44,77,0,4,0,8757,0.06,67059,0.5
Ac_FL_K1,r1,GCA_009767595.1,Symbiodinium kawagutii,13483315,13406068,99.43,85,0,8,0,9074,0.07,68080,0.5
Ac_FL_K1,r1,GCA_018327485.1,Symbiodinium microadriaticum,13483315,13393366,99.33,100,0,7,0,15731,0.12,74111,0.55
Ac_FL_K1,r1,GCA_905221605.1,Symbiodinium natans,13483315,13400287,99.38,82,0,7,0,8906,0.07,74033,0.55
Ac_FL_K1,r1,GCA_905221615.1,Symbiodinium sp. CCMP2592,13483315,13377240,99.22,93,0,4,0,22194,0.16,83784,0.62
Ac_FL_K1,r1,GCA_905221625.1,Symbiodinium sp. KB8,13483315,13388937,99.31,44,0,1,0,18185,0.13,76148,0.56
Ac_FL_K1,r1,GCA_905221635.1,Symbiodinium sp. CCMP2456,13483315,13390832,99.32,79,0,4,0,18015,0.13,74385,0.55
Ac_FL_K1,r1,GCA_905231905.1,Symbiodinium pilosum,13483315,13419379,99.53,57,0,3,0,12186,0.09,51690,0.38
Ac_FL_K1,r1,GCA_905231915.1,Symbiodinium necroappetens,13483315,13394326,99.34,73,0,3,0,18978,0.14,69935,0.52
Ac_FL_K1,r1,GCA_905231925.1,Symbiodinium microadriaticum,13483315,13388634,99.3,37,0,1,0,19172,0.14,75471,0.56
Ac_FL_K1,r1,GCA_000507305.1,Breviolum minutum Mf 1.05b.01,13483315,13411438,99.46,115,0,3,0,7498,0.06,64261,0.48
Ac_FL_K1,r1,All_Fish,NA,13483315,13350592,99.03,10083,0.07,5785,0.04,12597,0.09,104258,0.77
Ac_FL_K1,r2,Human,NA,13483315,13397106,99.36,1675,0.01,399,0,10196,0.08,73939,0.55
Ac_FL_K1,r2,Ecoli,NA,13483315,13483262,100,0,0,0,0,4,0,49,0
Ac_FL_K1,r2,PhiX,NA,13483315,13483315,100,0,0,0,0,0,0,0,0
Ac_FL_K1,r2,Contamnts_Adaptrs,NA,13483315,13483315,100,0,0,0,0,0,0,0,0
Ac_FL_K1,r2,Vectors,NA,13483315,13480583,99.98,3,0,0,0,341,0,2388,0.02
Ac_FL_K1,r2,Bacteria_24k,NA,13483315,13422180,99.54,1094,0.01,3163,0.02,4933,0.04,51945,0.39
Ac_FL_K1,r2,Protists_1k,NA,13483315,13266086,98.39,11572,0.09,12071,0.09,35432,0.26,158154,1.17
Ac_FL_K1,r2,Viruses,NA,13483315,13430012,99.61,96,0,27,0,5809,0.04,47371,0.35
Ac_FL_K1,r2,Fungi_RefSeq_release,NA,13483315,13388104,99.3,2513,0.02,579,0,12349,0.09,79770,0.59
Ac_FL_K1,r2,Bird,NA,13483315,13412244,99.47,706,0.01,73,0,9420,0.07,60872,0.45
Ac_FL_K1,r2,Plant,NA,13483315,13421370,99.54,364,0,50,0,6152,0.05,55379,0.41
Ac_FL_K1,r2,Symbiodinium,NA,13483315,13316309,98.76,25,0,1,0,36835,0.27,130145,0.97
Ac_FL_K1,r2,GCA_001939145.1,Symbiodinium microadriaticum,13483315,13394358,99.34,42,0,7,0,14920,0.11,73988,0.55
Ac_FL_K1,r2,GCA_003297005.1,Symbiodinium sp. clade A Y106,13483315,13346697,98.99,61,0,4,0,49622,0.37,86931,0.64
Ac_FL_K1,r2,GCA_003297045.1,Symbiodinium sp. clade C Y103,13483315,13411607,99.47,87,0,9,0,8480,0.06,63132,0.47
Ac_FL_K1,r2,GCA_009767595.1,Symbiodinium kawagutii,13483315,13410059,99.45,122,0,5,0,8971,0.07,64158,0.48
Ac_FL_K1,r2,GCA_018327485.1,Symbiodinium microadriaticum,13483315,13397549,99.37,84,0,5,0,15476,0.11,70201,0.52
Ac_FL_K1,r2,GCA_905221605.1,Symbiodinium natans,13483315,13404478,99.42,71,0,7,0,8729,0.06,70030,0.52
Ac_FL_K1,r2,GCA_905221615.1,Symbiodinium sp. CCMP2592,13483315,13382395,99.25,60,0,7,0,21499,0.16,79354,0.59
Ac_FL_K1,r2,GCA_905221625.1,Symbiodinium sp. KB8,13483315,13393064,99.33,39,0,2,0,18021,0.13,72189,0.54
Ac_FL_K1,r2,GCA_905221635.1,Symbiodinium sp. CCMP2456,13483315,13394986,99.35,92,0,3,0,17659,0.13,70575,0.52
Ac_FL_K1,r2,GCA_905231905.1,Symbiodinium pilosum,13483315,13422630,99.55,48,0,3,0,11783,0.09,48851,0.36
Ac_FL_K1,r2,GCA_905231915.1,Symbiodinium necroappetens,13483315,13398431,99.37,74,0,2,0,18641,0.14,66167,0.49
Ac_FL_K1,r2,GCA_905231925.1,Symbiodinium microadriaticum,13483315,13392793,99.33,45,0,2,0,18940,0.14,71535,0.53
Ac_FL_K1,r2,GCA_000507305.1,Breviolum minutum Mf 1.05b.01,13483315,13415242,99.5,141,0,6,0,7185,0.05,60741,0.45
Ac_FL_K1,r2,All_Fish,NA,13483315,13356251,99.06,9675,0.07,5751,0.04,12343,0.09,99295,0.74
Ac_FL_K2,r1,Human,NA,69733543,69265203,99.33,8895,0.01,2166,0,55235,0.08,402044,0.58
Ac_FL_K2,r1,Ecoli,NA,69733543,69732096,100,0,0,0,0,182,0,1265,0
Ac_FL_K2,r1,PhiX,NA,69733543,69733543,100,0,0,0,0,0,0,0,0
Ac_FL_K2,r1,Contamnts_Adaptrs,NA,69733543,69733543,100,0,0,0,0,0,0,0,0
Ac_FL_K2,r1,Vectors,NA,69733543,69713974,99.97,11,0,0,0,2095,0,17463,0.03
Ac_FL_K2,r1,Bacteria_24k,NA,69733543,69295854,99.37,26177,0.04,93677,0.13,27090,0.04,290745,0.42
Ac_FL_K2,r1,Protists_1k,NA,69733543,68073012,97.62,61129,0.09,63337,0.09,378140,0.54,1157925,1.66
Ac_FL_K2,r1,Viruses,NA,69733543,69442307,99.58,560,0,130,0,33019,0.05,257527,0.37
Ac_FL_K2,r1,Fungi_RefSeq_release,NA,69733543,69211947,99.25,12756,0.02,3443,0,67504,0.1,437893,0.63
Ac_FL_K2,r1,Bird,NA,69733543,69350941,99.45,3554,0.01,340,0,51671,0.07,327037,0.47
Ac_FL_K2,r1,Plant,NA,69733543,69396176,99.52,2003,0,311,0,33417,0.05,301636,0.43
Ac_FL_K2,r1,Symbiodinium,NA,69733543,68342173,98.01,242,0,12,0,383752,0.55,1007364,1.44
Ac_FL_K2,r1,GCA_001939145.1,Symbiodinium microadriaticum,69733543,69143772,99.15,233,0,40,0,132502,0.19,456996,0.66
Ac_FL_K2,r1,GCA_003297005.1,Symbiodinium sp. clade A Y106,69733543,68506759,98.24,406,0,29,0,582436,0.84,643913,0.92
Ac_FL_K2,r1,GCA_003297045.1,Symbiodinium sp. clade C Y103,69733543,69341381,99.43,425,0,35,0,45619,0.07,346083,0.5
Ac_FL_K2,r1,GCA_009767595.1,Symbiodinium kawagutii,69733543,69334300,99.43,543,0,39,0,48193,0.07,350468,0.5
Ac_FL_K2,r1,GCA_018327485.1,Symbiodinium microadriaticum,69733543,69162903,99.18,445,0,23,0,137470,0.2,432702,0.62
Ac_FL_K2,r1,GCA_905221605.1,Symbiodinium natans,69733543,69271295,99.34,387,0,30,0,54853,0.08,406978,0.58
Ac_FL_K2,r1,GCA_905221615.1,Symbiodinium sp. CCMP2592,69733543,68975189,98.91,365,0,43,0,243324,0.35,514622,0.74
Ac_FL_K2,r1,GCA_905221625.1,Symbiodinium sp. KB8,69733543,69137978,99.15,199,0,14,0,152555,0.22,442797,0.63
Ac_FL_K2,r1,GCA_905221635.1,Symbiodinium sp. CCMP2456,69733543,69140732,99.15,423,0,26,0,152646,0.22,439716,0.63
Ac_FL_K2,r1,GCA_905231905.1,Symbiodinium pilosum,69733543,69376976,99.49,243,0,11,0,67236,0.1,289077,0.41
Ac_FL_K2,r1,GCA_905231915.1,Symbiodinium necroappetens,69733543,69161305,99.18,353,0,14,0,159666,0.23,412205,0.59
Ac_FL_K2,r1,GCA_905231925.1,Symbiodinium microadriaticum,69733543,69134587,99.14,210,0,9,0,160098,0.23,438639,0.63
Ac_FL_K2,r1,GCA_000507305.1,Breviolum minutum Mf 1.05b.01,69733543,69361667,99.46,611,0,36,0,38829,0.06,332400,0.48
Ac_FL_K2,r1,All_Fish,NA,69733543,69041352,99.01,51226,0.07,30426,0.04,67441,0.1,543098,0.78
Ac_FL_K2,r2,Human,NA,69733543,69285569,99.36,8809,0.01,2061,0,53307,0.08,383797,0.55
Ac_FL_K2,r2,Ecoli,NA,69733543,69732142,100,0,0,0,0,179,0,1222,0
Ac_FL_K2,r2,PhiX,NA,69733543,69733543,100,0,0,0,0,0,0,0,0
Ac_FL_K2,r2,Contamnts_Adaptrs,NA,69733543,69733543,100,0,0,0,0,0,0,0,0
Ac_FL_K2,r2,Vectors,NA,69733543,69719784,99.98,9,0,0,0,1558,0,12192,0.02
Ac_FL_K2,r2,Bacteria_24k,NA,69733543,69310955,99.39,26216,0.04,93487,0.13,25933,0.04,276952,0.4
Ac_FL_K2,r2,Protists_1k,NA,69733543,68094924,97.64,60654,0.09,62647,0.09,380860,0.55,1134458,1.63
Ac_FL_K2,r2,Viruses,NA,69733543,69456065,99.6,628,0,215,0,31768,0.05,244867,0.35
Ac_FL_K2,r2,Fungi_RefSeq_release,NA,69733543,69232602,99.29,12543,0.02,3417,0,65602,0.09,419379,0.6
Ac_FL_K2,r2,Bird,NA,69733543,69368279,99.48,3435,0,325,0,49739,0.07,311765,0.45
Ac_FL_K2,r2,Plant,NA,69733543,69413841,99.54,1872,0,285,0,31388,0.05,286157,0.41
Ac_FL_K2,r2,Symbiodinium,NA,69733543,68362202,98.04,219,0,11,0,386735,0.55,984376,1.41
Ac_FL_K2,r2,GCA_001939145.1,Symbiodinium microadriaticum,69733543,69163916,99.18,228,0,41,0,129743,0.19,439615,0.63
Ac_FL_K2,r2,GCA_003297005.1,Symbiodinium sp. clade A Y106,69733543,68523246,98.26,405,0,28,0,583571,0.84,626293,0.9
Ac_FL_K2,r2,GCA_003297045.1,Symbiodinium sp. clade C Y103,69733543,69357035,99.46,393,0,24,0,44471,0.06,331620,0.48
Ac_FL_K2,r2,GCA_009767595.1,Symbiodinium kawagutii,69733543,69350471,99.45,527,0,56,0,47079,0.07,335410,0.48
Ac_FL_K2,r2,GCA_018327485.1,Symbiodinium microadriaticum,69733543,69181448,99.21,433,0,32,0,134670,0.19,416960,0.6
Ac_FL_K2,r2,GCA_905221605.1,Symbiodinium natans,69733543,69288685,99.36,396,0,41,0,53832,0.08,390589,0.56
Ac_FL_K2,r2,GCA_905221615.1,Symbiodinium sp. CCMP2592,69733543,68996850,98.95,405,0,31,0,239280,0.34,496977,0.71
Ac_FL_K2,r2,GCA_905221625.1,Symbiodinium sp. KB8,69733543,69157456,99.18,202,0,7,0,149671,0.21,426207,0.61
Ac_FL_K2,r2,GCA_905221635.1,Symbiodinium sp. CCMP2456,69733543,69160009,99.18,426,0,34,0,149524,0.21,423550,0.61
Ac_FL_K2,r2,GCA_905231905.1,Symbiodinium pilosum,69733543,69389158,99.51,252,0,12,0,65803,0.09,278318,0.4
Ac_FL_K2,r2,GCA_905231915.1,Symbiodinium necroappetens,69733543,69178814,99.21,393,0,17,0,156726,0.22,397593,0.57
Ac_FL_K2,r2,GCA_905231925.1,Symbiodinium microadriaticum,69733543,69153888,99.16,200,0,17,0,157116,0.23,422322,0.61
Ac_FL_K2,r2,GCA_000507305.1,Breviolum minutum Mf 1.05b.01,69733543,69376870,99.49,621,0,43,0,37673,0.05,318336,0.46
Ac_FL_K2,r2,All_Fish,NA,69733543,69065656,99.04,49876,0.07,29478,0.04,66300,0.1,522233,0.75
Ac_FL_KW15,r1,Human,NA,51258959,50887099,99.28,6916,0.01,1676,0,40804,0.08,322464,0.63
Ac_FL_KW15,r1,Ecoli,NA,51258959,51258225,100,0,0,0,0,118,0,616,0
Ac_FL_KW15,r1,PhiX,NA,51258959,51258959,100,0,0,0,0,0,0,0,0
Ac_FL_KW15,r1,Contamnts_Adaptrs,NA,51258959,51258959,100,0,0,0,0,0,0,0,0
Ac_FL_KW15,r1,Vectors,NA,51258959,51238711,99.96,9,0,0,0,1564,0,18675,0.04
